Model,Layers,HD_Mean,HD_Std
PialGCN,6,0.6544264991489462,0.06410625158794886
PialGCN,7,0.649583875901824,0.06572587136659902
PialGCN,3,0.727640451787874,0.07189662065855185
PialGCN,5,0.6608719310933958,0.05627032247982908
PialGCN,4,0.6917642264185416,0.06385394218189502
PialNN,0,0.8173626012139238,0.07652121328331668
PialGCN,2,0.7873215395214104,0.07086618406315326
PialGCN,5,0.6722082487292534,0.06485831965632316
PialGCN,4,0.679466263404431,0.05766631964687299
PialGCN,6,0.6837739049654371,0.07651702345405502
PialGCN,2,0.7998281756739579,0.07139545055350002
PialGCN,3,0.7458670062359591,0.07654542758097349
PialGCN,7,0.660166599768206,0.0690415171182599
PialNN,0,0.8469773725523482,0.08375791754117665
