Model,Layers,HD_Mean,HD_Std,Hemisphere
PialGCN,6,0.6544264991489462,0.06410625158794886,Left
PialGCN,7,0.649583875901824,0.06572587136659902,Left
PialGCN,3,0.727640451787874,0.07189662065855185,Left
PialGCN,5,0.6608719310933958,0.05627032247982908,Left
PialGCN,4,0.6917642264185416,0.06385394218189502,Left
PialNN,0,0.8173626012139238,0.07652121328331668,Left
PialGCN,2,0.7873215395214104,0.07086618406315326,Left
PialGCN,6,0.6544264991489462,0.06410625158794886,Right
PialGCN,7,0.649583875901824,0.06572587136659902,Right
PialGCN,3,0.727640451787874,0.07189662065855185,Right
PialGCN,5,0.6608719310933958,0.05627032247982908,Right
PialGCN,4,0.6917642264185416,0.06385394218189502,Right
PialNN,0,0.8173626012139238,0.07652121328331668,Right
PialGCN,2,0.7873215395214104,0.07086618406315326,Right
